# language_name_wals:	Otomí (Mezquital)
# language_name_glotto:	Mezquital Otomi
# iso639_3:	ote
# year_composed:	2002-2014
# year_published:	2014
# mode:	written
# genre_broad:	grammar
# genre_narrow:	
# writing_system:	Latn
# special_characters:	The text is written using a specific orthographic norm. It contains "underlined" vowels, e.g., o̱, e̱, u̱.  
# short_description:	Parallel text extracted from the orthographic norm of Otomi language (INALI, Mexico).
# source:	NJAUA NT'OT'I RA HÑÄHÑU- NORMA DE ESCRITURA DE LA LENGUA HÑÄHÑU (OTOMÍ) 
# copyright_short:	Public available online (https://site.inali.gob.mx/Micrositios/normas/otomi.html)
# copyright_long:	NA
# sample_type:	whole
# comments:	Spanish translations included

<line_1>	NJAUA
<line_177>	Da nt'ot'i n'a ra nthe̱t'i (–)
<translation>	Se escribe guión largo o raya (–) 
<line_178>	Pa da t'unga ue̱nda nu'ä manga n'a ngu n'a ja n'a ra mpa̱tihñä
<translation>	Para indicar las intervenciones de los distintos personajes que participan en un diálogo.
<line_179>	N'a rä pa mä me bi xiki:  
<translation>	Un día mi madre me dijo:
<line_180>	– Pot'ä rä de̱thä.   
<translation>	–Siembra maíz.
<line_181>	Nuga̱ dä thädi:  
<translation>	Yo le contesté:
<line_182>	–Hää, gä nxofo ndunthi.  
<translation>	–Sí, cosecharé mucho
<line_183>	Da japi ya nsogi { }
<translation>	Se emplean llaves { }
<line_184>	Pa da mhunts'i ya nt'udi, ya nte̱nimfeni, ya mpo̱nimfeni ne ya nk'oi.
<translation>	Para englobar términos, ideas, clasificaciones, conceptos y sus simbologías.
<line_185>	Da thuts'i ya njot'ihñä ( )
<translation>	Se utilizan paréntesis ( )  
<line_186>	Pa da te̱pi ya hoga mfëni madee ra nt'ot'i.
<translation>	Para intercalar breves frases aclaratorias o notas en medio de un texto.
<line_187>	El papá de Flor vive en una casa antigua
<translation>	Rä ta rä Do̱ni 'bu̱i ja n'a ra ngu maya'mu̱     
<line_188>	Da japi ya njot'a mfëni (“ ”)
<translation>	Se usan comillas (“ ”)  
<line_189>	Pa da neki n'a ra dämfeni, n'a ra hñä nehe di ge'ä hñäki.
<translation>	Para destacar una frase, un título o palabras que se citan textualmente.
<line_190>	Mä ta mi mää: “Oxki ho yä tu̱mu̱ ge ya anxe ya du”.
<translation>	Mi padre dijo: “No mates las mariposas porque son el alma de los muertos”.
<line_191>	Ra hñä
<translation>	La palabra
<line_192>	Ha ra hñäki hñähñu, rá noya ge'a ra t'u̱xe̱ni jase̱e̱ ra hma̱a̱.
<translation>	En el idioma Hñähñu, la palabra se entiende como la unidad mínima independiente con significado propio
<line_193>	Ga'tho ra noya nuna hñäki huadi ko mpo̱hñä.
<translation>	En esta lengua todas las palabras terminan en vocal. 
<line_194>	Ha nú'mu̱ da nju̱ni o da mpädi yoho ya noya dí gääts'i ko nt'ohni, ha hindi mpädi nu'ä maa.
<translation>	En algunos casos, cuando se da la contracción o metátesis, la palabra termina en consonante, lo cual no altera el significado de esta.
<line_195>	Ngu nuya ya noya di gääts'i ko ra mpo̱hñä:
<translation>	Ejemplos de palabras terminadas en vocal: 
<line_196>	Ha ra hñähñu da nju̱ni yoho ya noya pa di boni n'atho, ga'tho yoho da 'me̱di n'a ra mpo̱hñä, nu'ä ra ñoho ngu nzäntho di 'me̱di ra ngäts'i.
<translation>	En Hñähñu se da la contracción cuando se unen dos términos para formar una sola; al ocurrir esto, dichos términos sufren una pérdida de vocal, comúnmente en la segunda palabra, en su parte final y se obtiene como resultado una palabra con terminación en consonante, sin alterar el significado de la misma.
<line_197>	Ngu nuya ya noya di gäts'i ko ra nt'ohni.
<translation>	Ejemplos de palabras terminadas en consonante cuando hay una contracción:
<line_198>	Ha ra hñahñu ja ya mpadit'ot'i, nu'mu̱ ra r ne ra a di mpädi ra m'u̱i. Ha hindi mpädi nu'a mää.
<translation>	La metátesis se da en la lengua Hñahñu cuando la r y a alternan posiciones, sin que esto altere el significado.
<line_199>	Ngu nuya ya noya di gäts'i ko ra nt'ohni nu'mu̱ ja mpadit'ot'i.
<translation>	Ejemplos de palabras terminadas en consonante cuando hay una metátesis:
<line_200>	Ra xe̱nihñä ha ra hñähñu huadi ko mpo̱hñä, ho̱ntho nu'mu̱ di nju̱ni o di mpätant'ot'i di huadi ko ra nt'ohni.
<translation>	Las sílabas en la lengua Hñähñu terminan en vocal y sólo cuando ocurre una contracción o metátesis terminan en consonante. 
<line_201>	Ra theke ya hñä 
<translation>	División silábica
<line_202>	Ya noya n'atho ra xe̱nihñä
<translation>	Palabras monosilábicas
<line_203>	Ya noya yoho ra xe̱nihñä
<translation>	Palabras bisilábicas:
<line_204>	Ya noya hñu ra xe̱nihñä
<translation>	Palabras trisilábicas:
<line_205>	Ya mpe̱hñä ne ya bo̱hñä
<translation>	Las palabras compuestas y derivadas
<line_206>	Ya nthoka noya:
<translation>	Creación de palabras:
<line_207>	Ha ra hñäki Hñähñu ja yoho ya n'añ'o nt'ot'e pa da thoki ya 'ra'yo noya, ko mpe̱hñä ne bo̱hñä.
<translation>	 En la lengua Hñähñu hay dos diferentes procesos para crear nuevas palabras a través de la composición y la derivación.
<line_208>	Ra nt'o̱t'a mpe̱hñä po̱ni nu'mu̱ da mpe̱hni yoho ya noya:
<translation>	El proceso de composición se da cuando se juntan dos palabras:
<line_209>	ya nt'ot'e ne ya thuhu, ya no̱nte ne ya thuhu, ha ya thuhu ne ya thuhu.  
<translation>	verbos + sustantivo, adjetivo + sustantivo y sustantivo + sustantivo.
<line_210>	Nguya go gehya ya mpe̱hñä ne ya bo̱hñä
<translation>	Ejemplos de composición y derivación.
<line_211>	Nuya ya noya xa mpe̱hni ko n'a ra nt'o̱t'e ne n'a ra thuhu, n'andi di mpädi ra nt'ofo.
<translation>	Palabras formadas por un verbo y un sustantivo, en algunos casos ambas se alteran en su estructura.
<line_212>	Nuya ya noya xa mpe̱hni ko n'a ra no̱nte ne n'a ra thuhu, n'andi di 'me̱di n'a xe̱ni ra nt'ofo.
<translation>	Palabras formadas por un adjetivo y un sustantivo, en ocasiones, ambas pierden parte de su estructura.
<line_213>	Nuya ya noya habu̱ di mpe̱hni yoho ya thuhu pa da bo̱ni ma n'a ra thuhu, n'andi di t'é'tsi ra nt'ohni m o n, ha ra mu̱di o madeetho.
<translation>	Palabras formadas por dos sustantivos formando otro sustantivo, en algunos casos se agrega una consonante n o m al inicio o en medio más excepciones.  
<line_214>	Mänga to'ä
<translation>	Pronombres personales 
<line_215>	Ya m'änga to'ä ge'u̱ ya noya xikagihu̱ to' ä di no̱nyu̱. Ya m'ängato'ä di nto̱kuä ra hmepia ge maa to'ä ne hangu.
<translation>	Los pronombres personales son aquellas palabras que nos dicen o indican de quién se está hablando. Los pronombres personales indican persona gramatical y número. 
<line_216>	Ra nt'u̱i ra mängat'o'ä Hñähñu
<translation>	SISTEMA PRONOMINAL HÑÄHÑU
<line_217>	Ra nt'ë'tsi ya t'o̱t'e
<translation>	La flexión de los verbos
<line_218>	Ha nuya ya noya xa ntoo̱kua ra ntë'ts'i ya nt'o̱t'e ge maa to'ä ne hangu, ha nu 'mu̱ 'ñoui o xä 'uege.
<translation>	Ejemplos de flexiones verbales que nos indican persona, número, inclusividad y exclusividad. Todas las marcas van unidas al verbo.
<line_219>	Ya me̱uit'o̱t'e ne ya nfa̱xant'o̱t'ë
<translation>	Clíticos y auxiliares 
<line_220>	Ya me̱uit'ot'e mangi to'o da y'ote ne hamu̱ da y'o̱t'e. Da t'ot'i 'me̱t'o di ge ra nt'o̱t'e.
<translation>	Los proclíticos son palabras que indican tiempo y persona, se escribirán separadas antes del verbo. 
<line_221>	Hamu̱ ne to'ä
<translation>	Tiempo y persona
<line_222>	Nu'mu̱ nu'u̱ ya mfa̱xte ma/ne di 'me̱t'o di ge ra me̱uit'o̱t'e, da 'uege ra nt'ot'i.
<translation>	Los auxiliares ma (ir a) y ne (querer-necesitar-desear) se escribirán separados cuando van antes de los proclíticos de tiempo y persona.
<line_223>	Mfa̱xant'o̱t'e
<translation>	Uso del auxiliar
<line_224>	Hingi the̱ti mfa̱xant'o̱t'e
<translation>	Significado en español
<line_225>	Nuga ma ga maga ri xudi nuni M'onda ma ta̱ngi ya dutu  
<translation>	Yo voy a ir mañana a México a comprar ropa
<line_226>	Ne ga ta̱nga ma pahni pa ga hee  
<translation>	Necesito comprar mi blusa para ponérmela
<line_227>	Nu'a'ihu̱ ne gi nehu̱ ri nxuts'ihu̱   
<translation>	Ustedes necesitan querer a sus hijas
<line_228>	Nuga ma ga maga ñ'ëni ra pa ya xa̱hnate  
<translation>	Yo voy a jugar el día del maestro
<line_229>	Ma ga mpe̱fi 
<translation>	Voy a trabajar
<line_230>	Ma ga ñunga 
<translation>	Voy a comer
<line_231>	Ra nko̱ni
<translation>	La negación
<line_232>	Ha ra hñaki hñahñu ge hina ra nko̱ni, gehna di xe̱e̱gi pada uat'i ma n'a, (hin), da t'ot'i xa mpe̱hni ha ya me̱uit'o̱t'e nu'u̱ maa to'o ne hamu̱.
<translation>	En el idioma Hñähñu la negación es Hin-a (hina) “no”, cuando esta palabra es utilizada en frases negativas se convierte en un prefijo hin- (hina) lo que indica que se escribirá unido a los proclíticos de tiempo y persona.
<line_233>	Nkaua di mpe̱hni hin ko ya me̱uit’o̱t’e nu’u̱ maa to’o ne hamu̱
<translation>	Prefijo hin unido a un proclítico de tiempo y persona 
<line_234>	Ra nko̱ni
<translation>	Frase negativa 
<line_235>	híngi nehme 
<translation>	no quiere comer
<line_236>	hindi o̱ka 
<translation>	no escucho
<line_237>	hínda mpe̱ka 
<translation>	no trabajé
<line_238>	hínte di nega 
<translation>	no quiero nada
<line_239>	híndra tixfani 
<translation>	yo no estoy borracho
<line_240>	hínga xa̱hnate
<translation>	él no es maestro
<line_241>	hínxa nti 
<translation>	él no se ha emborrachado
<line_242>	hímbi njut'i
<translation>	no le pagaron
<line_243>	hínte di podi 
<translation>	yo no sé nada
<line_244>	hínte bi pe̱fi
<translation>	él no hace nada
<line_245>	hínte ts'i
<translation>	él no come nada
<line_246>	N'at'ä nt'ot'i 
<translation>	Homónimos
<line_247>	Nuya ya hñä di t'ot'i ne di hmä mahie̱tho, ne ra n'añ'o di bo̱ni.
<translation>	Son las palabras que se escriben y pronuncian igual, pero tienen diferentes significados.
<line_248>	Nguya ra n'añ'o ri bo̱ni
<translation>	ejemplos
<line_249>	ra 'bo̱ts'e kura de̱'thö 
<translation>	la canasta tiene maíz
<line_250>	xa 'nu xa 'bo̱ts'e Lupe 
<translation>	a Guadalupe le duele la costilla
<line_251>	po̱kua ra 'bo̱ts'e ri chu 
<translation>	ponle su ofrenda a tu abuelita
<line_252>	ra 'yo fo̱ge 
<translation>	el perro ladra
<line_253>	ma ga 'yo 'mu̱ xudi 
<translation>	caminaré en la mañana
<line_254>	Xuua fa̱di ra 'yo 
<translation>	Juan pastorea su chivo
<line_255>	pite ha ri nguu
<translation>	en tu casa espantan
<line_256>	pite ri böts'i 
<translation>	vacuna a tu hijo
<line_257>	ma nxui da the̱'me n'a pite 
<translation>	anoche me encontré un fantasma
<line_258>	da hüts'i n'a pite ha ma hua̱i
<translation>	puse un espantapájaros en mi milpa
<line_259>	pe ri xtä
<translation>	teje tu pelo
<line_260>	tsi ya pe 
<translation>	come biznagas
<line_261>	xa pe ra t'afi 
<translation>	la miel es pegajosa
<line_262>	juu tsi ri ju̱u̱ 
<translation>	come tu frijol
<line_263>	ju̱u̱ ri 'mehñä
<translation>	agarra a tu mujer
<line_264>	xa ma juäni
<translation>	es verdad
<line_265>	juäni ra zaa 
<translation>	endereza el palo
<line_266>	juäni ri bäts'i 
<translation>	mece a tu niño
<line_267>	n'a ra ñ'äi nixtri
<translation>	el zorrillo corre
<line_268>	pe-ti ra ñ'äi ri ju̱u̱ 
<translation>	échale epazote a los frijoles
<line_269>	di ñ'enga ko ra ñ'äi
<translation>	yo juego con el balero
<line_270>	ra pa ya hñä 
<translation>	el día de la lengua
<line_271>	xa pa ra hme
<translation>	la tortilla está caliente
<line_272>	nuni pa M'ónda 
<translation>	él va a México
<line_273>	xa 'ñu ra ua 
<translation>	le duele su pie
<line_274>	t'ëna ge 'ñu no'o nxutsi
<translation>	dicen que la muchacha está embarazada
<line_275>	ja ya de̱ni mu nxui 
<translation>	de noche hay luciérnagas
<line_276>	bi de̱ni n'a ra tsu̱ndu 
<translation>	siguió al muchacho
<line_277>	ri ma ha ta̱i 
<translation>	vete a la plaza
<line_278>	ba ta̱i ri ts'apo
<translation>	vete a comprar tu chicle
<line_279>	tu̱ki ya do̱ni 
<translation>	corta las flores
<line_280>	tsi tu̱ki ya jä'i bi zoo 
<translation>	poca gente llegó
<line_281>	tsu̱ti ri 'ue̱ne 
<translation>	amamanta a tu bebé
<line_282>	pa̱ka n'a tsu̱ti ra ngo̱
<translation>	véndame un kilo de carne
<line_283>	tsu̱ti ri ze̱xjo 
<translation>	cuelga tu calzón
<line_284>	kot'i ri ne
<translation>	cierra la boca
<line_285>	di ne ra hme 
<translation>	quiero tortillas
<line_286>	fa̱ts'i ra dehe
<translation>	hierve el agua
<line_287>	fa̱ts'i ya xöt'ö
<translation>	cuela los nopales
<line_288>	fa̱ts'i ri 'me̱hño 
<translation>	ayúdale a tu mujer
<line_289>	xa 'ñu ma yu̱ni
<translation>	me duele mi codo
<line_290>	yu̱ni xa ku̱i
<translation>	huele rico
<line_291>	bi 'uagi ra 'yu̱ni 
<translation>	se rompió el brazo
<line_292>	xa te ra ju̱ni 
<translation>	le creció el bigote
<line_293>	bi ju̱ni ya zu'uë 
<translation>	se enlazaron los animales
<line_294>	bi bödi da ju̱ni ya nt'ot'i 
<translation>	aprendieron a unir las letras
<line_295>	xi gi o̱tua ju̱ni
<translation>	le estás haciendo la barba
<line_296>	pe̱r ju̱u̱ni gi k'et'i suni
<translation>	tiende el metate para que muelas el nixtamal
<line_297>	hoka n'a t'ei dega ju̱u̱ni 
<translation>	hazme un atole de masa
<line_298>	ju̱u̱ni ri 'ye
<translation>	quita tu mano
<line_299>	n'a ra ñ'äni nixtri 
<translation>	el zorrillo corre
<line_300>	ñ'äni pa hinda diña'i 
<translation>	escóndete para que no te encuentre
<line_301>	ñ ́ani ri t'ëi 
<translation>	menea tu atole
<line_302>	ra ñ'äni ra döthe
<translation>	a la orilla del río
<line_303>	Ya hmihi
<translation>	Préstamos
<line_304>	Ha ra hñaki hñähñu, ya hmihi ge'u̱ ya noya ri ñ'ehë ha ma 'ra ya hñäki, ga manyu̱ ngu ra nzu̱ni ne ra nt'ofo ra Hñähñu.
<translation>	Los préstamos son palabras adoptadas de otras lenguas y algunas se pronuncian de acuerdo a la estructura fonológica de la lengua Hñähñu,
<line_305>	Ho̱nse̱ ya se̱e̱thuhu hinda mpädi ra t'ot'i.
<translation>	y no llevan ningún señalamiento especial.
<line_306>	Ya 'ra'yohñä 
<translation>	Neologismos
<line_307>	Gehya ya noya xa hoki ya Hñahñu, pa da no̱ni nu'u ya 'ra'yo noya xa bo̱ni ha ximha̱i, pa hinda maa ko ya hmihi.
<translation>	Son palabras creadas por los hablantes para referirse a objetos, cosas y acciones que no existían en la lengua Hñähñu, como producto de la aparición de nuevos campos semánticos.
<line_308>	Mahyoni da nsu ha ra nthoki nuya ya 'rayo noya, ge da me'tsi ra 'yu̱u̱ ra nzu̱ni ha hñahñu, pa gatho da bödi te maa, ne te xiju̱.
<translation>	Para la creación de nuevas palabras se deberán considerar los siguientes criterios: practicidad, economía, funcionalidad, originalidad, de acuerdo a su uso y características, con una justificación etimológica, fonológica, etc. 
<line_309>	Ya n'añ'o nt'ot'i ne n'añ'o nzuni ma'ra ya hñä.
<translation>	Formas de escritura según variante
