wals code,glottocode,name,latitude,longitude,macroarea,genus,family,sample 100,sample 200
mxo,ocot1243,Mixtec (Ocotepec),17.1666666667,-97.75,North America,Mixtecan,Oto-Manguean,False,False
mxp,peno1244,Mixtec (Peñoles),17.0833333333,-96.9166666667,North America,Mixtecan,Oto-Manguean,False,False
mxy,yoso1239,Mixtec (Yosondúa),16.9166666667,-97.5833333333,North America,Mixtecan,Oto-Manguean,False,False
mxt,ayut1236,Mixtec (Ayutla),16.9166666667,-99.1666666667,North America,Mixtecan,Oto-Manguean,False,False
mxz,coat1241,Mixtec (Coatzospan),18.0833333333,-96.5833333333,North America,Mixtecan,Oto-Manguean,False,False
mja,jami1235,Mixtec (Jamiltepec),16.25,-97.8333333333,North America,Mixtecan,Oto-Manguean,False,False
mxm,sanm1295,Mixtec (Molinos),17,-97.5833333333,North America,Mixtecan,Oto-Manguean,False,False
mxu,chay1249,Mixtec (Chayuco),16.4166666667,-97.8333333333,North America,Mixtecan,Oto-Manguean,False,False
mjc,sanj1281,Mixtec (San Juan Colorado),16.5,-98,North America,Mixtecan,Oto-Manguean,False,False
mxl,alac1244,Mixtec (Alacatlatzala),17.25,-98.5833333333,North America,Mixtecan,Oto-Manguean,False,False
tuk,tuka1249,Tukang Besi,-5.5,123.5,Papunesia,Celebic,Austronesian,True,True
guj,guja1252,Gujarati,23,72,Eurasia,Indic,Indo-European,False,False
pwn,pawn1254,Pawnee,41,-98.6666666667,North America,Caddoan,Caddoan,False,False
por,port1283,Portuguese,39,-8,Eurasia,Romance,Indo-European,False,False
anj,anei1239,Anejom,-20.2,169.8,Papunesia,Oceanic,Austronesian,False,False
kor,kore1280,Korean,37.5,128,Eurasia,Korean,Korean,True,True
lus,lush1252,Lushootseed,48,-122,North America,Central Salish,Salishan,False,False
gav,gavi1246,Gavião,-10.6666666667,-62,South America,Monde,Tupian,False,False
cub,cube1242,Cubeo,1.3333333333,-70.5,South America,Tucanoan,Tucanoan,False,False
oko,adiv1239,Oriya (Kotia),18.3333333333,83,Eurasia,Indic,Indo-European,False,False
oya,nucl1284,Oriya,21,85,Eurasia,Indic,Indo-European,False,False
apl,apal1257,Apalaí,0,-54,South America,Cariban,Cariban,False,False
dhb,baya1257,Dharumbal,-22.75,150.5,Australia,Northern Pama-Nyungan,Pama-Nyungan,False,False
mkb,coas1301,Miwok (Bodega),38.3333333333,-123,North America,Miwok,Penutian,False,False
hei,heil1246,Heiltsuk,52,-127.5,North America,Northern Wakashan,Wakashan,False,False
sue,suen1241,Suena,-7.75,147.55,Papunesia,Binanderean,Trans-New Guinea,False,True
krr,kair1263,Kairiru,-3.3333333333,143.583333333,Papunesia,Oceanic,Austronesian,False,False
bnm,binu1245,Binumarien,-6.2833333333,146.083333333,Papunesia,Eastern Highlands,Trans-New Guinea,False,False
cga,moch1256,Chaga,-3,37,Africa,Bantoid,Niger-Congo,False,False
poa,fwai1237,Po-Ai,-20.6666666667,164.833333333,Papunesia,Oceanic,Austronesian,False,False
tol,toll1241,Tol,14.6666666667,-87,North America,Tol,Tol,False,False
ukr,ukra1253,Ukrainian,49,33,Eurasia,Slavic,Indo-European,False,False
hwr,gura1251,Hawrami,35.75,45.5,Eurasia,Iranian,Indo-European,False,False
prt,pira1254,Piratapuyo,0.3333333333,-69.5,South America,Tucanoan,Tucanoan,False,False
gir,gula1265,Gula Iro,10.25,19.4166666667,Africa,Adamawa,Niger-Congo,False,False
kha,halh1238,Khalkha,47,105,Eurasia,Mongolic,Altaic,True,True
bul,bulg1262,Bulgarian,42.5,25,Eurasia,Slavic,Indo-European,False,False
iwm,iwam1256,Iwam,-4.3333333333,142,Papunesia,Upper Sepik,Sepik,False,False
hat,hata1243,Hatam,-1,134,Papunesia,Hatam,West Papuan,False,False
ymi,yami1254,Yami,22,121.5,Papunesia,Batanic,Austronesian,False,False
zim,zima1244,Zimakani,-7.4333333333,141.433333333,Papunesia,Marind Proper,Marind,False,False
xho,xhos1239,Xhosa,-32,27,Africa,Bantoid,Niger-Congo,False,False
yak,yaka1269,Yaka,-7,17.5,Africa,Bantoid,Niger-Congo,False,False
lil,lill1248,Lillooet,50.75,-122,North America,Interior Salish,Salishan,False,False
luc,luch1239,Lucazi,-14,20,Africa,Bantoid,Niger-Congo,False,False
wrd,ward1246,Wardaman,-15.5,131,Australia,Yangmanic,Yangmanic,False,True
cop,copt1239,Coptic,26,32,Africa,Egyptian-Coptic,Afro-Asiatic,False,False
big,yulu1243,Binga,8,25,Africa,Bongo-Bagirmi,Central Sudanic,False,False
yul,yulu1243,Yulu,8.5,25.25,Africa,Bongo-Bagirmi,Central Sudanic,False,False
brj,burj1242,Burji,5.5,37.8333333333,Africa,Lowland East Cushitic,Afro-Asiatic,False,False
sva,svan1243,Svan,43,42.5,Eurasia,Kartvelian,Kartvelian,False,False
kly,kala1377,Kala Lagaw Ya,-10.1166666667,142.116666667,Papunesia,Northern Pama-Nyungan,Pama-Nyungan,False,False
iaa,iaai1238,Iaai,-20.4166666667,166.583333333,Papunesia,Oceanic,Austronesian,False,False
sri,siri1274,Siriano,0.75,-70.1666666667,South America,Tucanoan,Tucanoan,False,False
pok,rawo1244,Poko-Rawo,-2.8333333333,141.583333333,Papunesia,Serra Hills,Skou,False,False
ndi,sout2784,Ngbandi,3.75,22,Africa,Ubangi,Niger-Congo,False,False
ygd,diii1241,Dii,8,14,Africa,Adamawa,Niger-Congo,False,False
gnn,kwin1241,Gunin,-14.25,126.666666667,Australia,Worrorran,Worrorran,False,False
kln,wers1238,Kolana,-8.25,125.116666667,Papunesia,Kolana-Tanglapui,Timor-Alor-Pantar,False,False
hlu,halk1245,Halkomelem (Upriver),49.25,-121.916666667,North America,Central Salish,Salishan,False,False
cay,chac1249,Cayapa,0.6666666667,-79,South America,Barbacoan,Barbacoan,False,False
nal,nali1244,Nalik,-2.95,151.333333333,Papunesia,Oceanic,Austronesian,False,False
aiz,apro1235,Aizi,5.25,-4.5,Africa,Kru,Niger-Congo,False,False
apk,apuc1241,A-Pucikwar,12.1666666667,92.8333333333,Eurasia,Great Andamanese,Great Andamanese,False,False
tmp,tamp1252,Tampulma,10.4166666667,-0.5833333333,Africa,Gur,Niger-Congo,False,False
lar,lara1258,Laragia,-12.6666666667,130.833333333,Australia,Laragia,Darwin Region,False,False
pat,pate1247,Patep,-6.9166666667,146.583333333,Papunesia,Oceanic,Austronesian,False,False
wth,wath1238,Wathawurrung,-38,144,Australia,Southeastern Pama-Nyungan,Pama-Nyungan,False,False
hmi,mini1256,Huitoto (Minica),-0.3333333333,-74,South America,Huitoto,Huitotoan,False,True
deg,dege1246,Degema,4.75,6.75,Africa,Edoid,Niger-Congo,False,False
igs,gaam1241,Ingessana,11.5,34,Africa,Eastern Jebel,Eastern Sudanic,False,False
ao,aona1235,Ao,26.5833333333,94.6666666667,Eurasia,Kuki-Chin,Sino-Tibetan,False,False
cam,cams1241,Camsá,1.1666666667,-77,South America,Camsá,Camsá,False,False
kyn,koyu1237,Koyukon,65,-155,North America,Athapaskan,Na-Dene,False,False
pau,paum1247,Paumarí,-6,-64,South America,Arauan,Arauan,False,True
mgd,mong1342,Mongondow,0.6666666667,124,Papunesia,Greater Central Philippine,Austronesian,False,False
hsl,hais1244,Haisla,54,-128.75,North America,Northern Wakashan,Wakashan,False,False
tnt,tont1239,Tontemboan,1.0833333333,124.5,Papunesia,Minahasan,Austronesian,False,False
zqc,copa1236,Zoque (Copainalá),17,-93.25,North America,Mixe-Zoque,Mixe-Zoque,True,True
zqo,copa1236,Zoque (Ostuacan),17.4166666667,-93.3,North America,Mixe-Zoque,Mixe-Zoque,False,False
zfl,fran1266,Zoque (Francisco León),17.3333333333,-93.25,North America,Mixe-Zoque,Mixe-Zoque,False,False
zqr,rayo1235,Zoque (Rayon),17.0833333333,-93,North America,Mixe-Zoque,Mixe-Zoque,False,False
zch,chim1300,Zoque (Chimalapa),16.75,-94.75,North America,Mixe-Zoque,Mixe-Zoque,False,False
ama,amar1272,Amara,-5.6666666667,148.5,Papunesia,Oceanic,Austronesian,False,False
pip,pipi1250,Pipil,13.8333333333,-89.5833333333,North America,Aztecan,Uto-Aztecan,False,False
srl,lowe1385,Sorbian (Lower),51.75,14.3333333333,Eurasia,Slavic,Indo-European,False,False
koi,gras1249,Koiari,-9.5,147.333333333,Papunesia,Koiarian,Trans-New Guinea,False,False
sub,subi1246,Subiya,-17.75,24.9166666667,Africa,Bantoid,Niger-Congo,False,False
mde,mend1266,Mende,7.8333333333,-11.5,Africa,Western Mande,Mande,False,False
kyl,east2342,Kayah Li (Eastern),19,97.5,Eurasia,Karen,Sino-Tibetan,False,True
wal,valm1241,Walman,-3.2166666667,142.5,Papunesia,Wapei-Palei,Torricelli,False,False
yaw,nucl1454,Yawa,-1.75,136.25,Papunesia,Yawa,Yawa,False,False
mhi,mara1378,Marathi,19,76,Eurasia,Indic,Indo-European,False,False
god,ghod1238,Godoberi,42.6666666667,46.0833333333,Eurasia,Avar-Andic-Tsezic,Nakh-Daghestanian,False,False
slb,sali1295,Saliba (in Papua New Guinea),-10.5833333333,150.716666667,Papunesia,Oceanic,Austronesian,False,False
nku,kenu1236,Nubian (Kunuz),23,33,Africa,Nubian,Eastern Sudanic,False,False
nbd,kenu1236,Nubian (Dongolese),18.25,30.75,Africa,Nubian,Eastern Sudanic,False,True
gud,gude1246,Gude,10.4166666667,13.4166666667,Africa,Biu-Mandara,Afro-Asiatic,False,False
cab,cabe1245,Cabécar,9.75,-83.4166666667,North America,Talamanca,Chibchan,False,False
kap,kela1255,Kela (Apoze),-7.4166666667,147.083333333,Papunesia,Oceanic,Austronesian,False,False
mar,mari1440,Maricopa,33.1666666667,-113.166666667,North America,Yuman,Hokan,True,True
svk,slov1269,Slovak,49,20,Eurasia,Slavic,Indo-European,False,False
shu,shus1248,Shuswap,52,-120,North America,Interior Salish,Salishan,False,False
mrr,mari1419,Maringarr,-14.25,130,Australia,Bringen,Western Daly,False,False
oku,okuu1243,Oku,6.25,10.5,Africa,Bantoid,Niger-Congo,False,False
ahs,hass1238,Arabic (Bani-Hassan),20,-10,Africa,Semitic,Afro-Asiatic,False,False
awi,aeky1238,Aekyom,-5.75,141.416666667,Papunesia,Awin-Pare,Awin-Pare,False,False
atq,paci1278,Alutiiq,57,-157,North America,Eskimo,Eskimo-Aleut,False,False
emc,embe1262,Embera Chami,5,-76,South America,Choco,Choco,False,False
mmz,mams1234,Mam (Southern),14.8333333333,-91.6666666667,North America,Mayan,Mayan,False,False
mam,mamc1234,Mam,15,-91.8333333333,North America,Mayan,Mayan,False,False
tsh,pana1305,Tümpisa Shoshone,37,-117,North America,Numic,Uto-Aztecan,False,False
swr,shos1248,Shoshone (Wind River),43.4166666667,-108.833333333,North America,Numic,Uto-Aztecan,False,False
sho,shos1248,Shoshone,41,-114,North America,Numic,Uto-Aztecan,False,False
que,quec1382,Quechan,32.8333333333,-114.333333333,North America,Yuman,Hokan,False,False
mov,movi1243,Movima,-13.8333333333,-65.6666666667,South America,Movima,Movima,False,False
mgg,tuuu1240,Mangghuer,36,102,Eurasia,Mongolic,Altaic,False,False
ahu,aghu1255,Aghu,-6.1666666667,140.166666667,Papunesia,Awju-Dumut,Trans-New Guinea,False,False
tsz,dido1241,Tsez,42.25,45.75,Eurasia,Avar-Andic-Tsezic,Nakh-Daghestanian,False,False
bbf,sout2840,Bobo Madaré (Northern),12.4166666667,-4.3333333333,Africa,Western Mande,Mande,False,False
arb,arab1268,Arabela,-2,-75.1666666667,South America,Zaparoan,Zaparoan,False,False
svc,kash1274,Slovincian,54,16,Eurasia,Slavic,Indo-European,False,False
ksu,kash1274,Kashubian,54,18,Eurasia,Slavic,Indo-European,False,False
tlp,acat1239,Tlapanec,17.0833333333,-99,North America,Subtiaba-Tlapanec,Oto-Manguean,False,False
tul,tulu1258,Tulu,12.75,75.3333333333,Eurasia,Southern Dravidian,Dravidian,False,False
thy,thay1249,Kuuk Thaayorre,-14.5833333333,141.833333333,Australia,Northern Pama-Nyungan,Pama-Nyungan,False,False
shk,ship1254,Shipibo-Konibo,-7.5,-75,South America,Panoan,Panoan,False,True
tam,east2347,Tamang (Eastern),27.5,85.6666666667,Eurasia,Bodic,Sino-Tibetan,False,False
sam,samo1305,Samoan,-13.9166666667,-171.833333333,Papunesia,Oceanic,Austronesian,False,False
moe,erzy1239,Mordvin (Erzya),53,45.5,Eurasia,Mordvin,Uralic,False,False
luy,saam1283,Luyia,0.4166666667,34.5,Africa,Bantoid,Niger-Congo,False,False
ndu,ndum1239,Ndumu,-1.6666666667,13.5833333333,Africa,Bantoid,Niger-Congo,False,False
djp,dhuw1249,Djapu,-12.6666666667,136,Australia,Western Pama-Nyungan,Pama-Nyungan,False,False
gmt,guma1253,Gumatj,-12.5,135.5,Australia,Western Pama-Nyungan,Pama-Nyungan,False,False
dda,dhuw1249,Dhuwal (Dätiwuy),-12.1666666667,136.25,Australia,Western Pama-Nyungan,Pama-Nyungan,False,False
gmz,gumu1244,Gumuz,12.5,35.8333333333,Africa,Gumuz,Gumuz,False,False
mbi,bamb1266,Mbili,6.1166666667,10.2,Africa,Bantoid,Niger-Congo,False,False
hre,hree1244,Hre,14.6666666667,108.666666667,Eurasia,Bahnaric,Austro-Asiatic,False,False
ngn,ngan1295,Ngandi,-13.8333333333,135,Australia,Ngandi,Gunwinyguan,False,False
bpb,bahn1262,Bahnar,13.8333333333,108.333333333,Eurasia,Bahnaric,Austro-Asiatic,False,False
mdn,mand1446,Mandan,46.5,-102.5,North America,Core Siouan,Siouan,False,False
ign,igna1246,Ignaciano,-15.1666666667,-65.4166666667,South America,Bolivia-Parana,Arawakan,False,False
sob,sobe1238,Sobei,-1.9166666667,138.75,Papunesia,Oceanic,Austronesian,False,False
ari,arib1241,Aribwatsa,-6.7166666667,147,Papunesia,Oceanic,Austronesian,False,False
rim,nyat1246,Rimi,-5,34.6666666667,Africa,Bantoid,Niger-Congo,False,False
jbt,djeo1235,Jabutí,-12.25,-62.25,South America,Jabutí,Jabutí,False,False
wet,luan1263,Wetan,-8.1666666667,128,Papunesia,Central Malayo-Polynesian,Austronesian,False,False
slo,slov1268,Slovene,46,15,Eurasia,Slavic,Indo-European,False,False
ghr,gahr1239,Bunan,32.5,77,Eurasia,Bodic,Sino-Tibetan,False,False
ats,atsu1245,Atsugewi,40.75,-121,North America,Palaihnihan,Hokan,False,False
agw,alag1248,Alagwa,-5.5,35.75,Africa,Southern Cushitic,Afro-Asiatic,False,False
unm,unam1242,Unami,40,-75.1666666667,North America,Algonquian,Algic,False,False
mwl,lake1258,Miwok (Lake),38.9166666667,-122.666666667,North America,Miwok,Penutian,False,False
tsw,tswa1253,Tswana,-24,26,Africa,Bantoid,Niger-Congo,False,False
ntj,ngaa1240,Ngaanyatjarra,-26,126.5,Australia,Western Pama-Nyungan,Pama-Nyungan,False,False
wdo,pitj1243,Western Desert (Ooldea),-30.5,132,None,Western Pama-Nyungan,Pama-Nyungan,False,False
sor,sora1254,Sora,20,84.3333333333,Eurasia,Munda,Austro-Asiatic,False,False
mup,mwag1236,Mupun,9.5,8.8333333333,Africa,West Chadic,Afro-Asiatic,False,False
gnd,gaan1243,Ga'anda,10.3333333333,12.5833333333,Africa,Biu-Mandara,Afro-Asiatic,False,False
ntn,nate1242,Nateni,10.5,1.1666666667,Africa,Gur,Niger-Congo,False,False
epe,epen1239,Epena Pedee,3,-77,South America,Choco,Choco,False,True
dmk,doma1260,Dumaki,36.1666666667,74,Eurasia,Indic,Indo-European,False,False
lul,lule1238,Lule,-28,-64,South America,Lule,Lule,False,False
ckl,chin1286,Chinook (Lower),46.25,-123.5,North America,Chinookan,Penutian,False,False
buw,bulu1251,Bulu,3,11,Africa,Bantoid,Niger-Congo,False,False
ppi,pitt1247,Pitta Pitta,-22.8333333333,140,Australia,Central Pama-Nyungan,Pama-Nyungan,False,False
msm,muso1238,Musom,-6.5833333333,147,Papunesia,Oceanic,Austronesian,False,False
ykm,yako1252,Yakoma,4.4166666667,18.4166666667,Africa,Ubangi,Niger-Congo,False,False
sti,stie1250,Stieng,11.8333333333,106.75,Eurasia,Bahnaric,Austro-Asiatic,False,False
pol,poli1260,Polish,52,20,Eurasia,Slavic,Indo-European,False,False
nin,ning1273,Ningil,-3.5,142.25,Papunesia,Wapei-Palei,Torricelli,False,False
kom,komo1258,Komo,8.75,33.75,Africa,Koman,Koman,False,False
ady,adyg1241,Adyghe (Abzakh),45.2333333333,40.5833333333,Eurasia,Northwest Caucasian,Northwest Caucasian,False,False
adt,adyg1241,Adyghe (Temirgoy),45.2166666667,39.7,Eurasia,Northwest Caucasian,Northwest Caucasian,False,False
ash,adyg1241,Adyghe (Shapsugh),45,38.75,Eurasia,Northwest Caucasian,Northwest Caucasian,False,False
bil,bilu1245,Bilua,-7.75,156.666666667,Papunesia,Bilua,Solomons East Papuan,False,False
tin,tiri1258,Tinrin,-21.6666666667,165.75,Papunesia,Oceanic,Austronesian,False,False
bat,bata1301,Batak,10.25,119.083333333,Papunesia,Greater Central Philippine,Austronesian,False,False
jrw,jara1245,Jarawa (in Andamans),12,92.5833333333,Eurasia,South Andamanese,South Andamanese,False,False
sis,baba1268,Sisiqa,-7,156.833333333,Papunesia,Oceanic,Austronesian,False,False
wag,wage1238,Wagiman,-14,131.25,Australia,Wagiman,Wagiman,False,False
klz,kala1384,Kalanga,-20.5,27.5,Africa,Bantoid,Niger-Congo,False,False
cuu,chuu1238,Chuukese,7.3333333333,151.75,Papunesia,Oceanic,Austronesian,False,False
uby,ubyk1235,Ubykh,43.6666666667,39.6666666667,Eurasia,Northwest Caucasian,Northwest Caucasian,False,False
sno,nort2671,Saami (Northern),69,24,Eurasia,Saami,Uralic,False,False
baj,indo1317,Bajau (Sama),-4.3333333333,123,Papunesia,Sama-Bajaw,Austronesian,False,False
kkn,konk1267,Konkani,15.25,74,Eurasia,Indic,Indo-European,False,False
nnt,nant1249,Nanticoke,38,-76.25,North America,Algonquian,Algic,False,False
ngz,ngiz1242,Ngizim,12.0833333333,10.9166666667,Africa,West Chadic,Afro-Asiatic,False,False
evn,even1260,Even,68,130,Eurasia,Tungusic,Altaic,False,False
abk,abkh1244,Abkhaz,43.0833333333,41,Eurasia,Northwest Caucasian,Northwest Caucasian,True,True
bdk,budu1248,Budukh,41.1666666667,48.4166666667,Eurasia,Lezgic,Nakh-Daghestanian,False,False
tda,toda1252,Toda,11.4166666667,76.75,Eurasia,Southern Dravidian,Dravidian,False,False
kji,nort2641,Kurmanji,38,42,Eurasia,Iranian,Indo-European,False,False
kbl,kaby1243,Kabyle,36.5,5,Africa,Berber,Afro-Asiatic,False,False
hmr,hame1242,Hamer,5,36.5,Africa,South Omotic,Afro-Asiatic,False,False
so,sooo1256,So,2.5833333333,34.75,Africa,Kuliak,Eastern Sudanic,False,False
ymd,yamd1240,Yamdena,-7.5,131.5,Papunesia,Central Malayo-Polynesian,Austronesian,False,False
mtk,matu1261,Matukar,-4.9166666667,145.75,Papunesia,Oceanic,Austronesian,False,False
shb,shab1252,Shabo,7.5833333333,35.4166666667,Africa,Shabo,Shabo,False,False
wur,waur1244,Waurá,-13,-53,South America,Central Arawakan,Arawakan,False,False
sec,seco1241,Secoya,-0.3333333333,-76,South America,Tucanoan,Tucanoan,False,False
wps,wapi1253,Wapishana,2.6666666667,-60,South America,Wapishanan,Arawakan,False,False
bit,biat1246,Biatah,1.25,110,Papunesia,Land Dayak,Austronesian,False,False
chg,chan1313,Chang,26.3333333333,94.75,Eurasia,Northern Naga,Sino-Tibetan,False,False
trw,torw1241,Torwali,34.25,72,Eurasia,Indic,Indo-European,False,False
hun,hung1274,Hungarian,47,20,Eurasia,Ugric,Uralic,False,True
mse,muns1251,Munsee,41.5,-74.6666666667,North America,Algonquian,Algic,False,False
kus,kusu1250,Kusunda,28,84.6666666667,Eurasia,Kusunda,Kusunda,False,False
rao,raoo1244,Rao,-4.75,144.5,Papunesia,Annaberg,Lower Sepik-Ramu,False,False
sdh,sind1272,Sindhi,26,69,Eurasia,Indic,Indo-European,False,False
tar,tari1256,Tariana,1,-69.1666666667,South America,Inland Northern Arawakan,Arawakan,False,False
bbm,bamb1270,Bambam,-3.0833333333,119.083333333,Papunesia,South Sulawesi,Austronesian,False,False
lns,lamn1239,Lamnso',6.1666666667,10.75,Africa,Bantoid,Niger-Congo,False,False
brh,brah1256,Brahui,28.5,67,Eurasia,Northern Dravidian,Dravidian,False,True
krm,kara1464,Karaim,54.6666666667,24.9166666667,Eurasia,Turkic,Altaic,False,False
kaq,kaur1267,Kaurna,-34.25,138.5,Australia,Central Pama-Nyungan,Pama-Nyungan,False,False
dca,casi1235,Dumagat (Casiguran),16.3333333333,122,Papunesia,Northern Luzon,Austronesian,False,False
ras,tega1236,Rashad,11.8333333333,31.05,Africa,Rashad,Kordofanian,False,False
ori,tega1236,Orig,12.1666666667,30.8333333333,Africa,Rashad,Kordofanian,False,False
lga,onto1237,Luangiua,-5.3333333333,159.416666667,Papunesia,Oceanic,Austronesian,False,False
tkm,turk1304,Turkmen,40,58,Eurasia,Turkic,Altaic,False,False
mdb,mudb1240,Mudburra,-17.3333333333,132.083333333,Australia,Western Pama-Nyungan,Pama-Nyungan,False,False
wrw,warr1258,Warrwa,-17.5,123.5,Australia,Nyulnyulan,Nyulnyulan,False,False
trt,tern1247,Ternate,0.8333333333,127.25,Papunesia,North Halmaheran,West Papuan,False,False
dha,daas1238,Dhaasanac,4.6666666667,36.3333333333,Africa,Lowland East Cushitic,Afro-Asiatic,False,False
miz,lush1249,Mizo,23.1666666667,92.8333333333,Eurasia,Kuki-Chin,Sino-Tibetan,False,False
kyk,kyak1244,Kyaka,-5.55,144.083333333,Papunesia,Engan,Trans-New Guinea,False,False
ena,enga1252,Enga,-5.5,143.666666667,Papunesia,Engan,Trans-New Guinea,False,False
abm,alab1237,Alabama,32.3333333333,-87.4166666667,North America,Muskogean,Muskogean,False,False
cct,choc1276,Choctaw,32.25,-88.5,North America,Muskogean,Muskogean,False,False
cmh,utes1238,Chemehuevi,34.3333333333,-115.166666667,North America,Numic,Uto-Aztecan,False,False
kot,kota1263,Kota,11.5,77.1666666667,Eurasia,Southern Dravidian,Dravidian,False,False
bdg,bada1257,Badaga,11.6666666667,76.75,Eurasia,Southern Dravidian,Dravidian,False,False
brn,buru1320,Burunge,-5.3333333333,36,Africa,Southern Cushitic,Afro-Asiatic,False,False
klv,kili1267,Kilivila,-8.5,151.083333333,Papunesia,Oceanic,Austronesian,False,True
irr,irar1238,Irarutu,-3,133.5,Papunesia,South Halmahera - West New Guinea,Austronesian,False,False
mmv,mamv1243,Mamvu,3.25,29,Africa,Mangbutu-Efe,Central Sudanic,False,False
mrq,nort2845,Marquesan,-8.9166666667,-140.083333333,Papunesia,Oceanic,Austronesian,False,False
tgh,taha1241,Tuareg (Ghat),25,10.1666666667,Africa,Berber,Afro-Asiatic,False,False
aht,ahte1237,Ahtna,62,-145,North America,Athapaskan,Na-Dene,False,False
kkb,konk1269,Konkomba,10,0.0833333333,Africa,Gur,Niger-Congo,False,False
dio,jola1263,Diola-Fogny,13,-16.25,Africa,Northern Atlantic,Niger-Congo,False,True
mwn,nort2968,Miwok (Northern Sierra),38.3333333333,-120.666666667,North America,Miwok,Penutian,False,False
ruk,ruka1240,Rukai (Tanan),22.8333333333,120.833333333,Papunesia,Rukai,Austronesian,False,False
ark,arak1252,Araki,-15.6666666667,166.916666667,Papunesia,Oceanic,Austronesian,False,False
ktl,katl1237,Katla,11.8333333333,29.3333333333,Africa,Katla-Tima,Kordofanian,False,False
tup,None,Tupi,-6,-36,None,Tupi-Guaraní,Tupian,False,False
yap,yape1248,Yapese,9.5833333333,138.166666667,Papunesia,Yapese,Austronesian,False,False
ono,onoo1246,Ono,-6.1666666667,147.583333333,Papunesia,Finisterre-Huon,Trans-New Guinea,False,False
sta,dong1285,Santa,31.5,107.5,Eurasia,Mongolic,Altaic,False,False
cso,west2644,Chatino (Sierra Occidental),16.25,-97.3333333333,North America,Zapotecan,Oto-Manguean,False,False
cya,west2644,Chatino (Yaitepec),16.25,-97.25,North America,Zapotecan,Oto-Manguean,False,False
ctt,tata1258,Chatino (Tataltepec),16.1666666667,-97.5833333333,North America,Zapotecan,Oto-Manguean,False,False
cht,nopa1235,Chatino (Nopala),16.0833333333,-97.1666666667,North America,Zapotecan,Oto-Manguean,False,False
map,mapu1245,Mapudungun,-38,-72,South America,Araucanian,Araucanian,True,True
mab,maba1277,Maba,13.75,20.8333333333,Africa,Maban,Maban,False,True
grj,huar1255,Guarijío,27.75,-108.666666667,North America,Tarahumaran,Uto-Aztecan,False,False
cup,cupe1243,Cupeño,33.1666666667,-116.5,North America,California Uto-Aztecan,Uto-Aztecan,False,False
boi,boik1241,Boiken,-3.5,143.5,Papunesia,Middle Sepik,Sepik,False,False
yrr,pume1238,Yaruro,7,-68,South America,Yaruro,Yaruro,False,False
nah,niha1238,Nahali,19.75,77.8333333333,Eurasia,Nahali,Nahali,False,False
kmu,khmu1256,Khmu',21,102,Eurasia,Palaung-Khmuic,Austro-Asiatic,False,True
lot,loth1237,Lotha,26.5,94.25,Eurasia,Kuki-Chin,Sino-Tibetan,False,False
prs,west2369,Persian,32,54,Eurasia,Iranian,Indo-European,True,True
maz,maza1293,Mazahua,19.4166666667,-99.9166666667,North America,Otomian,Oto-Manguean,False,False
dyu,dyul1238,Dyula,9.8333333333,-4.6666666667,Africa,Western Mande,Mande,False,False
pad,pado1242,Padoe,-2.3333333333,121.333333333,Papunesia,Celebic,Austronesian,False,False
iau,iauu1242,Iau,-3.1666666667,137.5,Papunesia,Lakes Plain,Lakes Plain,False,False
kby,kabi1261,Kabiyé,9.6666666667,1.1666666667,Africa,Gur,Niger-Congo,False,False
mau,maun1240,Maung,-11.9166666667,133.5,Australia,Iwaidjan,Iwaidjan,True,True
ik,ikkk1242,Ik,3.75,34.1666666667,Africa,Kuliak,Eastern Sudanic,False,False
rus,russ1263,Russian,56,38,Eurasia,Slavic,Indo-European,True,True
wnb,hoch1243,Winnebago,43.5,-88.5,North America,Core Siouan,Siouan,False,False
swa,swah1253,Swahili,-6.5,39,Africa,Bantoid,Niger-Congo,True,True
mop,mopa1243,Mopan,16.5833333333,-88.6666666667,North America,Mayan,Mayan,False,False
tht,tehi1237,Tehit,-1.5,132,Papunesia,West Bird's Head,West Papuan,False,False
tah,tahi1242,Tahitian,-17.6666666667,-149.583333333,Papunesia,Oceanic,Austronesian,False,False
nor,norw1259,Norwegian,61,8,Eurasia,Germanic,Indo-European,False,False
ksr,kisa1266,Kisar,-8.0833333333,127.116666667,Papunesia,Central Malayo-Polynesian,Austronesian,False,False
bsm,bisl1239,Bislama,-16,168,Papunesia,Creoles and Pidgins,other,False,False
hin,hind1269,Hindi,25,77,Eurasia,Indic,Indo-European,True,True
bkr,bata1293,Batak (Karo),3.25,98.25,Papunesia,Northwest Sumatra-Barrier Islands,Austronesian,False,True
thk,thak1245,Thakali,29,83.75,Eurasia,Bodic,Sino-Tibetan,False,False
tnd,tind1238,Tindi,42.3666666667,46.25,Eurasia,Avar-Andic-Tsezic,Nakh-Daghestanian,False,False
snc,sene1264,Seneca,42.5,-77.5,North America,Northern Iroquoian,Iroquoian,False,False
bch,tach1249,Berber (Chaouia),35,7,Africa,Berber,Afro-Asiatic,False,False
ngu,nort2836,Nguna,-16.9166666667,168.5,Papunesia,Oceanic,Austronesian,False,False
maw,west2500,Maninka (Western),13,-11,Africa,Western Mande,Mande,False,False
mnk,east2426,Maninka,10.5,-9.5,Africa,Western Mande,Mande,False,False
wrn,wand1263,Warndarang,-14.4166666667,135.583333333,Australia,Warndarang,Mangarrayi-Maran,False,False
